,State,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Average_House_Price
2448,Texas,Hansford County,5532,46.4,53.3,0.1,0.1,0.0,0.0,21989,18.7,32.8,11.3,16.7,19.5,19.7,86.1,7.5,0.4,3.0,2.2,0.8,14.8,72.6,14.2,13.2,0.0,3.8,124197.25082112137
2449,Texas,Hardin County,55993,5.4,87.0,5.6,0.2,0.5,0.0,29693,12.0,31.9,14.2,24.2,14.2,15.4,86.7,9.4,0.2,0.9,1.0,1.9,28.3,82.1,13.7,4.1,0.1,4.4,160108.0852643704
2451,Texas,Harrison County,66606,12.7,63.8,21.3,0.3,0.7,0.0,25123,17.9,32.4,15.9,20.2,13.5,18.0,87.5,6.4,0.0,0.6,1.7,3.8,20.9,80.9,12.8,6.1,0.2,7.2,155472.3594309039
2454,Texas,Hays County,194843,37.8,55.3,3.5,0.2,1.3,0.0,29253,15.3,37.5,18.7,25.7,9.2,9.0,78.9,9.8,0.8,2.0,2.1,6.4,30.1,75.3,17.6,6.9,0.3,5.3,261863.82827481258
2455,Texas,Hemphill County,4152,35.2,61.8,0.7,0.4,0.3,0.0,29470,8.8,31.3,15.4,25.7,17.3,10.2,76.2,15.5,0.0,4.6,0.0,3.6,16.0,73.7,16.9,9.4,0.0,6.9,152650.53899597345
2456,Texas,Henderson County,79687,12.1,78.9,6.6,0.9,0.7,0.1,24315,18.0,29.1,19.6,22.9,14.4,14.0,82.0,12.0,0.1,1.2,0.6,4.0,30.6,76.2,14.9,8.7,0.2,6.2,161828.99503811155
2458,Texas,Hill County,35098,20.0,71.3,6.3,0.2,0.3,0.2,23342,17.5,26.2,18.8,22.7,14.2,18.1,79.9,12.3,0.0,1.4,1.7,4.6,28.5,78.0,14.0,7.8,0.3,8.1,111194.32048439258
2459,Texas,Hockley County,23273,46.9,47.7,3.6,0.6,0.2,0.1,22673,14.9,26.2,17.0,24.6,19.4,12.8,78.6,16.2,0.1,2.0,0.7,2.5,19.6,81.1,12.7,6.0,0.3,7.4,117054.59826503623
2460,Texas,Hood County,55418,12.0,84.8,0.7,0.9,0.8,0.0,32578,12.3,32.6,14.9,23.3,13.2,16.1,87.7,6.2,0.2,0.5,0.9,4.5,32.5,80.1,10.5,9.1,0.3,3.0,215272.96400908384
2461,Texas,Hopkins County,35929,16.3,74.0,6.7,0.2,0.7,0.1,24236,17.9,28.4,17.6,22.5,11.8,19.7,82.8,10.4,0.3,2.0,1.0,3.5,23.3,78.5,12.7,8.5,0.3,5.9,159830.9218659953
2462,Texas,Houston County,22849,10.7,62.0,24.9,0.2,0.4,0.0,17884,24.7,24.7,22.2,22.1,12.7,18.3,85.5,8.4,0.0,1.0,1.3,3.8,26.4,67.1,21.8,11.0,0.0,4.5,133467.7201496035
2463,Texas,Howard County,36491,41.2,50.0,5.2,0.7,0.8,0.1,22994,13.9,29.0,18.6,22.9,14.9,14.6,80.1,15.9,0.4,1.3,1.1,1.1,18.8,72.7,20.7,6.3,0.3,6.7,121651.77756693987
2464,Texas,Hunt County,90322,15.3,72.9,7.8,0.8,1.2,0.0,23942,18.8,31.7,17.3,24.3,12.7,14.1,81.1,12.0,0.0,2.1,1.2,3.6,30.8,79.8,13.9,6.2,0.1,6.5,153311.6508225226
2465,Texas,Hutchinson County,21704,22.5,71.3,2.0,1.3,0.6,0.3,25154,16.4,22.0,17.0,25.0,18.9,17.1,85.3,11.6,0.0,1.0,0.6,1.5,18.3,81.2,12.9,5.8,0.1,5.2,88712.89265033991
2466,Texas,Jack County,8839,16.3,77.9,4.5,0.4,0.1,0.0,25553,18.2,24.9,13.0,24.0,19.6,18.4,85.6,8.0,0.0,1.0,0.6,4.8,26.5,76.1,13.8,9.5,0.6,3.6,124289.95372860384
2467,Texas,Jackson County,14756,32.3,59.4,7.1,0.0,0.3,0.1,26809,13.7,26.6,15.3,19.8,19.1,19.2,81.1,10.8,1.8,1.5,0.6,4.2,25.7,76.2,15.1,7.9,0.8,4.7,146017.55073060523
2469,Texas,Jefferson County,254574,19.5,41.7,33.7,0.2,3.6,0.0,25370,19.4,28.9,19.6,23.2,13.4,14.9,89.5,6.8,0.5,0.7,0.9,1.6,19.7,83.0,13.0,3.9,0.1,6.5,115628.53965031182
2472,Texas,Johnson County,160173,20.3,73.6,2.8,0.4,0.8,0.4,26574,11.0,30.6,14.1,22.2,11.7,21.5,85.5,8.5,0.1,1.2,0.9,3.7,30.3,82.4,10.8,6.7,0.2,4.9,189832.93848823733
2473,Texas,Jones County,19969,27.2,54.8,14.5,0.1,0.3,0.0,17960,15.9,31.9,24.0,19.5,10.5,14.1,76.9,16.6,0.0,2.7,1.0,2.8,20.2,65.5,23.2,11.1,0.3,4.2,93940.52242501028
2475,Texas,Kaufman County,114852,19.9,66.6,10.4,0.4,1.1,0.1,26631,12.4,33.4,15.2,25.9,11.6,13.9,83.0,11.0,0.3,0.5,1.5,3.6,34.7,77.5,16.5,5.8,0.2,6.5,200351.2383761591
2476,Texas,Kendall County,40306,23.0,73.6,0.7,0.0,0.7,0.1,39517,5.7,44.8,16.5,22.6,9.1,7.0,79.1,9.7,0.1,2.3,1.2,7.6,31.2,75.8,13.6,10.7,0.0,4.4,369794.1662787081
2477,Texas,Kerr County,50761,26.1,69.9,1.4,0.2,1.0,0.0,28484,13.8,30.3,24.1,23.2,12.7,9.8,78.8,14.0,0.0,1.9,0.7,4.5,20.0,72.3,15.2,12.5,0.0,6.0,218418.11166770777
2481,Texas,Lamar County,49401,7.5,75.0,12.3,0.3,0.9,0.3,23625,17.8,27.1,17.6,24.9,12.6,17.8,81.4,10.0,0.1,2.4,3.0,3.2,20.3,79.4,13.6,6.8,0.2,5.6,122917.89641170802
2483,Texas,Lampasas County,20473,19.2,72.9,3.0,0.4,1.1,1.0,26405,12.0,32.4,20.4,20.3,15.4,11.5,76.5,14.8,0.2,2.7,3.1,2.7,27.4,70.3,21.8,7.7,0.1,7.4,156746.09411409197
2484,Texas,Lavaca County,19859,18.1,74.3,6.6,0.0,0.4,0.0,29946,10.5,32.8,14.4,20.4,14.1,18.3,83.3,10.8,0.2,1.6,0.8,3.2,28.0,74.7,15.3,9.9,0.1,2.9,186412.24177351873
